Blender 4.5.12 LTS (hash 84afd5f785f7 built 2026-07-21 01:33:53)
Read blend: "C:\Users\xdrhh\Documents\Codex\2026-09-18\codex-blender-mcp-blender-python-3d\outputs\Jiangnan.blend"
警告: 库文件, 加载空场景
帧:80 内存:357.53M (峰值 357.53M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.073
帧:80 内存:357.62M (峰值 357.62M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.074
帧:80 内存:357.71M (峰值 357.71M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.075
帧:80 内存:357.80M (峰值 357.80M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.076
帧:80 内存:357.89M (峰值 357.89M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.077
帧:80 内存:357.99M (峰值 357.99M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.078
帧:80 内存:358.08M (峰值 358.08M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.079
帧:80 内存:358.17M (峰值 358.17M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.080
帧:80 内存:358.26M (峰值 358.26M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.081
帧:80 内存:358.35M (峰值 358.35M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.082
帧:80 内存:358.44M (峰值 358.44M) | 时间:00:00.31 | Mem:0.00M, Peak:0.00M | 烟雨江南 · 雪月江南, 视图层 | Synchronizing object | JN_院墙黛瓦_筒瓦.083
